multiplier,trading_code,delist_date,price_tick_desc,exchange,list_date,product_code,price_tick,instrument,name,last_ddate
10000.0,T2206,2022-06-10,,CFFEX,2021-09-13,T,0.005,T2206.CFX,10年期国债2206,2022-06-15
10000.0,T2209,2022-09-09,,CFFEX,2021-12-13,T,0.005,T2209.CFX,10年期国债2209,2022-09-15
10000.0,T8888,2099-01-01,,CFFEX,2015-03-20,T,0.005,T8888.CFX,10年期国债主力,2099-01-01
10000.0,T0000,2099-01-01,,CFFEX,2015-03-20,T,0.005,T0000.CFX,10	年期国债指数,2099-01-01
10000.0,T9999,2099-01-01,,CFFEX,2015-03-20,T,0.005,T9999.CFX,10年期国债前复权主力,2099-01-01
10.0,fb2110,2021-10-21,,DCE,2020-10-23,FB,0.5,FB2110.DCE,纤维板2110,2021-10-26
10.0,fb2111,2021-11-12,,DCE,2020-11-16,FB,0.5,FB2111.DCE,纤维板2111,2021-11-17
10.0,fb2112,2021-12-14,,DCE,2020-12-15,FB,0.5,FB2112.DCE,纤维板2112,2021-12-17
10.0,fb2201,2022-01-17,,DCE,2021-01-18,FB,0.5,FB2201.DCE,纤维板2201,2022-01-20
10.0,fb2203,2022-03-14,,DCE,2021-03-15,FB,0.5,FB2203.DCE,纤维板2203,2022-03-17
10.0,fb2204,2022-04-18,,DCE,2021-04-16,FB,0.5,FB2204.DCE,纤维板2204,2022-04-21
10.0,fb2202,2022-02-18,,DCE,2021-02-22,FB,0.5,FB2202.DCE,纤维板2202,2022-02-23
10.0,fb2206,2022-06-15,,DCE,2021-06-16,FB,0.5,FB2206.DCE,纤维板2206,2022-06-20
10.0,fb2205,2022-05-18,,DCE,2021-05-20,FB,0.5,FB2205.DCE,纤维板2205,2022-05-23
10.0,fb2207,2022-07-14,,DCE,2021-07-15,FB,0.5,FB2207.DCE,纤维板2207,2022-07-19
10.0,fb2208,2022-08-12,,DCE,2021-08-16,FB,0.5,FB2208.DCE,纤维板2208,2022-08-17
10.0,fb2209,2022-09-15,,DCE,2021-09-15,FB,0.5,FB2209.DCE,纤维板2209,2022-09-20
10.0,fb2301,2023-01-17,,DCE,2022-01-18,FB,0.5,FB2301.DCE,纤维板2301,2023-01-20
10.0,fb2210,2022-10-21,,DCE,2021-10-22,FB,0.5,FB2210.DCE,纤维板2210,2022-10-26
10.0,fb2211,2022-11-14,,DCE,2021-11-15,FB,0.5,FB2211.DCE,纤维板2211,2022-11-17
10.0,fb2212,2022-12-14,,DCE,2021-12-15,FB,0.5,FB2212.DCE,纤维板2212,2022-12-19
10.0,fb8888,2099-01-01,,DCE,2013-12-06,FB,0.5,FB8888.DCE,纤维板主力,2099-01-01
10.0,fb0000,2099-01-01,,DCE,2013-12-06,FB,0.5,FB0000.DCE,纤维板指数,2099-01-01
10.0,fb9999,2099-01-01,,DCE,2013-12-06,FB,0.5,FB9999.DCE,纤维板前复权主力,2099-01-01
5.0,CF111,2021-11-12,,CZCE,2020-11-16,CF,5.0,CF2111.CZC,一号棉花111,2021-11-12
5.0,CF201,2022-01-17,,CZCE,2021-01-18,CF,5.0,CF2201.CZC,一号棉花201,2022-01-17
5.0,CF203,2022-03-14,,CZCE,2021-03-15,CF,5.0,CF2203.CZC,一号棉花203,2022-03-14
5.0,CF205,2022-05-18,,CZCE,2021-05-20,CF,5.0,CF2205.CZC,一号棉花205,2022-05-18
5.0,CF207,2022-07-14,,CZCE,2021-07-15,CF,5.0,CF2207.CZC,一号棉花207,2022-07-14
5.0,CF209,2022-09-15,,CZCE,2021-09-15,CF,5.0,CF2209.CZC,一号棉花209,2022-09-15
5.0,CF301,2023-01-13,,CZCE,2022-01-18,CF,5.0,CF2301.CZC,一号棉花301,2023-01-13
5.0,CF211,2022-11-14,,CZCE,2021-11-15,CF,5.0,CF2211.CZC,一号棉花211,2022-11-14
5.0,CF8888,2099-01-01,,CZCE,2004-06-01,CF,5.0,CF8888.CZC,一号棉花主力,2099-01-01
5.0,CF0000,2099-01-01,,CZCE,2004-06-01,CF,5.0,CF0000.CZC,一号棉花指数,2099-01-01
5.0,CF9999,2099-01-01,,CZCE,2004-06-01,CF,5.0,CF9999.CZC,一号棉花前复权主力,2099-01-01
10.0,eg2110,2021-10-26,,DCE,2020-10-28,EG,1.0,EG2110.DCE,乙二醇2110,2021-10-29
10.0,eg2111,2021-11-25,,DCE,2020-11-26,EG,1.0,EG2111.DCE,乙二醇2111,2021-11-30
10.0,eg2112,2021-12-28,,DCE,2020-12-29,EG,1.0,EG2112.DCE,乙二醇2112,2021-12-31
10.0,eg2201,2022-01-25,,DCE,2021-01-27,EG,1.0,EG2201.DCE,乙二醇2201,2022-01-28
10.0,eg2204,2022-04-26,,DCE,2021-04-28,EG,1.0,EG2204.DCE,乙二醇2204,2022-04-29
10.0,eg2202,2022-02-23,,DCE,2021-02-24,EG,1.0,EG2202.DCE,乙二醇2202,2022-02-28
10.0,eg2203,2022-03-28,,DCE,2021-03-29,EG,1.0,EG2203.DCE,乙二醇2203,2022-03-31
10.0,eg2205,2022-05-26,,DCE,2021-05-27,EG,1.0,EG2205.DCE,乙二醇2205,2022-05-31
10.0,eg2207,2022-07-26,,DCE,2021-07-28,EG,1.0,EG2207.DCE,乙二醇2207,2022-07-29
10.0,eg2206,2022-06-27,,DCE,2021-06-28,EG,1.0,EG2206.DCE,乙二醇2206,2022-06-30
