multiplier,trading_code,delist_date,price_tick_desc,exchange,list_date,product_code,price_tick,instrument,name,last_ddate,minmov,pricescale
5.0,TA211,2022-11-14,,CZCE,2021-11-15,TA,2.0,TA2211.CZC,精对苯二甲酸211,2022-11-14,2,1
5.0,TA212,2022-12-14,,CZCE,2021-12-15,TA,2.0,TA2212.CZC,精对苯二甲酸212,2022-12-14,2,1
5.0,TA0000,2099-01-01,,CZCE,2006-12-18,TA,2.0,TA0000.CZC,精对苯二甲酸指数,2099-01-01,2,1
16.0,lh2205,2022-05-26,,DCE,2021-05-27,LH,5.0,LH2205.DCE,生猪2205,2022-05-31,5,1
16.0,lh2207,2022-07-26,,DCE,2021-07-28,LH,5.0,LH2207.DCE,生猪2207,2022-07-29,5,1
16.0,lh2209,2022-09-27,,DCE,2021-09-28,LH,5.0,LH2209.DCE,生猪2209,2022-09-30,5,1
16.0,lh2301,2023-01-25,,DCE,2022-01-26,LH,5.0,LH2301.DCE,生猪2301,2023-01-30,5,1
16.0,lh2211,2022-11-25,,DCE,2021-11-26,LH,5.0,LH2211.DCE,生猪2211,2022-11-30,5,1
16.0,lh0000,2099-01-01,,DCE,2021-01-08,LH,5.0,LH0000.DCE,生猪指数,2099-01-01,5,1
10.0,c2205,2022-05-18,,DCE,2021-05-20,C,1.0,C2205.DCE,黄玉米2205,2022-05-23,1,1
10.0,c2207,2022-07-14,,DCE,2021-07-15,C,1.0,C2207.DCE,黄玉米2207,2022-07-19,1,1
10.0,c2209,2022-09-15,,DCE,2021-09-15,C,1.0,C2209.DCE,黄玉米2209,2022-09-20,1,1
10.0,c2301,2023-01-17,,DCE,2022-01-18,C,1.0,C2301.DCE,黄玉米2301,2023-01-20,1,1
10.0,c2211,2022-11-14,,DCE,2021-11-15,C,1.0,C2211.DCE,黄玉米2211,2022-11-17,1,1
10.0,c0000,2099-01-01,,DCE,2004-09-22,C,1.0,C0000.DCE,黄玉米指数,2099-01-01,1,1
10.0,bu2206,2022-06-15,,SHFE,2020-06-16,BU,2.0,BU2206.SHF,石油沥青2206,2022-06-20,2,1
10.0,bu2209,2022-09-15,,SHFE,2020-09-16,BU,2.0,BU2209.SHF,石油沥青2209,2022-09-20,2,1
10.0,bu2212,2022-12-15,,SHFE,2020-12-16,BU,2.0,BU2212.SHF,石油沥青2212,2022-12-20,2,1
10.0,bu2303,2023-03-15,,SHFE,2021-03-16,BU,2.0,BU2303.SHF,石油沥青2303,2023-03-20,2,1
10.0,bu2306,2023-06-15,,SHFE,2021-06-16,BU,2.0,BU2306.SHF,石油沥青2306,2023-06-20,2,1
10.0,bu2309,2023-09-15,,SHFE,2021-09-16,BU,2.0,BU2309.SHF,石油沥青2309,2023-09-20,2,1
10.0,bu2204,2022-04-15,,SHFE,2021-10-18,BU,2.0,BU2204.SHF,石油沥青2204,2022-04-20,2,1
