instrument,high,volume,low,close,product_code,date,open_intl,open
FG2205.CZC,1760.0,71220.0,1625.0,1663.0,FG,2021-11-10,60472.0,1760.0
FG2205.CZC,1812.0,89879.0,1655.0,1777.0,FG,2021-11-11,64002.0,1661.0
FG2205.CZC,1795.0,86191.0,1710.0,1783.0,FG,2021-11-12,64619.0,1774.0
FG2205.CZC,1858.0,142976.0,1730.0,1756.0,FG,2021-11-15,72017.0,1748.0
FG2205.CZC,1826.0,91209.0,1760.0,1768.0,FG,2021-11-16,76906.0,1782.0
FG2205.CZC,1789.0,107292.0,1677.0,1710.0,FG,2021-11-17,78402.0,1768.0
FG2205.CZC,1732.0,83227.0,1659.0,1681.0,FG,2021-11-18,75697.0,1730.0
FG2205.CZC,1749.0,72701.0,1664.0,1735.0,FG,2021-11-19,73662.0,1671.0
FG2205.CZC,1788.0,79157.0,1715.0,1762.0,FG,2021-11-22,71357.0,1720.0
FG2205.CZC,1795.0,71972.0,1740.0,1740.0,FG,2021-11-23,71602.0,1762.0
FG2205.CZC,1822.0,90001.0,1721.0,1812.0,FG,2021-11-24,72819.0,1738.0
FG2205.CZC,1844.0,73855.0,1804.0,1826.0,FG,2021-11-25,79751.0,1820.0
FG2205.CZC,1830.0,100105.0,1782.0,1800.0,FG,2021-11-26,86734.0,1820.0
FG2205.CZC,1892.0,131991.0,1763.0,1871.0,FG,2021-11-29,89386.0,1780.0
FG2205.CZC,1913.0,137554.0,1822.0,1839.0,FG,2021-11-30,97135.0,1875.0
FG2205.CZC,1926.0,140022.0,1839.0,1917.0,FG,2021-12-01,102894.0,1839.0
FG2205.CZC,1946.0,158579.0,1884.0,1914.0,FG,2021-12-02,110335.0,1920.0
FG2205.CZC,1962.0,156334.0,1915.0,1943.0,FG,2021-12-03,110910.0,1927.0
FG2205.CZC,1974.0,146760.0,1905.0,1921.0,FG,2021-12-06,119032.0,1955.0
FG2205.CZC,1948.0,195658.0,1887.0,1892.0,FG,2021-12-07,129135.0,1933.0
FG2205.CZC,1904.0,312241.0,1775.0,1819.0,FG,2021-12-08,132849.0,1888.0
FG2205.CZC,1853.0,251570.0,1801.0,1821.0,FG,2021-12-09,139400.0,1831.0
FG2205.CZC,1859.0,436882.0,1756.0,1779.0,FG,2021-12-10,164219.0,1830.0
FG2205.CZC,1850.0,364786.0,1752.0,1829.0,FG,2021-12-13,167336.0,1777.0
FG2205.CZC,1848.0,303483.0,1808.0,1837.0,FG,2021-12-14,173059.0,1829.0
FG2205.CZC,1843.0,386333.0,1775.0,1783.0,FG,2021-12-15,184438.0,1831.0
FG2205.CZC,1821.0,348422.0,1766.0,1808.0,FG,2021-12-16,187511.0,1783.0
FG2205.CZC,1848.0,366836.0,1802.0,1825.0,FG,2021-12-17,189862.0,1807.0
FG2205.CZC,1885.0,589984.0,1768.0,1781.0,FG,2021-12-20,202048.0,1832.0
FG2205.CZC,1832.0,369127.0,1756.0,1827.0,FG,2021-12-21,194325.0,1781.0
FG2205.CZC,1843.0,336314.0,1793.0,1796.0,FG,2021-12-22,206633.0,1834.0
FG2205.CZC,1827.0,304876.0,1788.0,1803.0,FG,2021-12-23,207376.0,1804.0
FG2205.CZC,1806.0,522715.0,1722.0,1751.0,FG,2021-12-24,252945.0,1798.0
FG2205.CZC,1778.0,410463.0,1722.0,1777.0,FG,2021-12-27,230968.0,1747.0
FG2205.CZC,1778.0,323778.0,1731.0,1747.0,FG,2021-12-28,239041.0,1778.0
FG2205.CZC,1767.0,258971.0,1739.0,1759.0,FG,2021-12-29,236685.0,1746.0
FG2205.CZC,1777.0,276935.0,1726.0,1735.0,FG,2021-12-30,248953.0,1759.0
FG2205.CZC,1742.0,366898.0,1684.0,1705.0,FG,2021-12-31,249186.0,1735.0
FG2205.CZC,1725.0,210419.0,1692.0,1703.0,FG,2022-01-04,270912.0,1700.0
FG2205.CZC,1743.0,256735.0,1702.0,1733.0,FG,2022-01-05,258394.0,1703.0
FG2205.CZC,1811.0,366736.0,1730.0,1806.0,FG,2022-01-06,242124.0,1733.0
