period,instrument
15m,SM2209.CZC
15m,SM2301.CZC
15m,SM2210.CZC
15m,SM2211.CZC
15m,SM2212.CZC
15m,SM0000.CZC
15m,SA2204.CZC
15m,SA2206.CZC
15m,SA2205.CZC
15m,SA2207.CZC
15m,SA2208.CZC
15m,SA2209.CZC
15m,SA2301.CZC
15m,SA2210.CZC
15m,SA2211.CZC
15m,SA2212.CZC
15m,SA0000.CZC
15m,HC2205.SHF
15m,HC2204.SHF
15m,HC2206.SHF
15m,HC2207.SHF
15m,HC2208.SHF
15m,HC2209.SHF
15m,HC2210.SHF
15m,HC2212.SHF
15m,HC2301.SHF
15m,HC2211.SHF
15m,HC0000.SHF
15m,V2204.DCE
15m,V2206.DCE
15m,V2205.DCE
15m,V2207.DCE
15m,V2208.DCE
15m,V2209.DCE
15m,V2301.DCE
15m,V2210.DCE
15m,V2211.DCE
15m,V2212.DCE
15m,V0000.DCE
15m,ME0000.CZC
15m,CS2205.DCE
15m,CS2207.DCE
15m,CS2209.DCE
15m,CS2301.DCE
15m,CS2211.DCE
15m,CS0000.DCE
15m,L2204.DCE
15m,L2206.DCE
15m,L2205.DCE
15m,L2207.DCE
15m,L2208.DCE
15m,L2209.DCE
15m,L2301.DCE
15m,L2210.DCE
15m,L2211.DCE
15m,L2212.DCE
15m,L0000.DCE
15m,A2205.DCE
15m,A2207.DCE
15m,A2209.DCE
15m,A2301.DCE
15m,A2211.DCE
15m,A0000.DCE
15m,UR2204.CZC
15m,UR2206.CZC
15m,UR2205.CZC
15m,UR2207.CZC
15m,UR2208.CZC
15m,UR2209.CZC
15m,UR2301.CZC
15m,UR2210.CZC
15m,UR2211.CZC
15m,UR2212.CZC
15m,UR0000.CZC
15m,RM2205.CZC
15m,RM2207.CZC
15m,RM2208.CZC
15m,RM2209.CZC
15m,RM2301.CZC
15m,RM2211.CZC
15m,RM0000.CZC
30m,Y2205.DCE
30m,Y2207.DCE
30m,Y2208.DCE
30m,Y2209.DCE
30m,Y2301.DCE
30m,Y2211.DCE
30m,Y2212.DCE
30m,Y0000.DCE
30m,SP2204.SHF
30m,SP2206.SHF
30m,SP2205.SHF
30m,SP2207.SHF
30m,SP2208.SHF
30m,SP2209.SHF
30m,SP2301.SHF
30m,SP2210.SHF
30m,SP2212.SHF
30m,SP2211.SHF
30m,SP0000.SHF
30m,LU2205.INE
30m,LU2206.INE
30m,LU2209.INE
30m,LU2207.INE
30m,LU2208.INE
30m,LU2210.INE
30m,LU2302.INE
30m,LU2211.INE
30m,LU2212.INE
30m,LU2301.INE
30m,LU0000.INE
30m,B2204.DCE
30m,B2206.DCE
30m,B2205.DCE
30m,B2207.DCE
30m,B2208.DCE
30m,B2209.DCE
30m,B2301.DCE
30m,B2210.DCE
30m,B2211.DCE
30m,B2212.DCE
30m,B0000.DCE
30m,TA2204.CZC
30m,TA2206.CZC
30m,TA2205.CZC
30m,TA2207.CZC
30m,TA2208.CZC
30m,TA2209.CZC
30m,TA2301.CZC
30m,TA2210.CZC
30m,TA2211.CZC
30m,TA2212.CZC
30m,TA0000.CZC
30m,LH2205.DCE
30m,LH2207.DCE
30m,LH2209.DCE
30m,LH2301.DCE
30m,LH2211.DCE
30m,LH0000.DCE
